player_name,team_name,TotalTackles,DribbledPast,TotalAttemptedTackles,Total_Interception,Fouled,Fouls,Yellow,Red,CaughtOffside,Total_Clearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Total_Aerial,Won,Lost,Total_Passes,AccLB,InAccLB,AccSP,InAccSP,Total_Key passes,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists
Asmir Begovic,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,5.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin De Bruyne,Manchester City,0.9,0.8,1.7,0.3,0.9,0.6,0.0,0.0,0.2,0.3,0.1,0.0,0.8,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.5,0.2,0.0,0.1,0.1,0.9,1.0,1.9,1.3,0.9,0.8,0.4,0.4,42.4,2.5,1.2,31.8,7.0,3.1,0.8,2.2,0.2,0.0,0.1,0.0,0.0,0.2,0.5
Stefan Ortega,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,4.7,1.0,2.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,50.3,7.3,6.0,35.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erling Haaland,Manchester City,0.1,0.1,0.2,0.1,0.7,0.9,0.1,0.0,0.2,0.4,0.1,0.0,0.2,0.0,0.0,0.0,0.0,3.5,0.2,0.6,2.7,1.0,0.3,0.7,0.0,0.6,0.3,0.9,1.5,0.7,2.9,1.4,1.4,13.7,0.1,0.0,10.2,3.4,0.9,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.2,0.2
Harry Kane,Tottenham,0.4,0.4,0.8,0.1,1.5,0.8,0.2,0.0,0.4,0.5,0.2,0.0,0.5,0.0,0.0,0.0,0.0,3.4,0.8,0.4,2.1,0.8,0.2,0.5,0.1,1.8,1.1,2.8,1.9,1.5,3.9,1.7,2.1,22.4,1.9,1.1,14.3,5.2,1.5,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Bruno Fernandes,Manchester United,1.8,1.1,3.0,0.7,1.1,1.1,0.2,0.0,0.4,1.0,0.1,0.1,0.9,0.0,0.0,0.0,0.0,2.5,1.3,0.1,1.1,0.2,0.0,0.2,0.0,0.9,0.9,1.8,1.1,1.1,1.7,0.5,1.2,50.1,3.1,2.3,35.8,8.9,3.2,0.6,2.6,0.0,0.0,0.1,0.0,0.0,0.1,0.2
Gabriel Jesus,Arsenal,1.3,0.7,1.9,0.4,2.2,1.7,0.2,0.0,0.6,0.5,0.1,0.1,0.9,0.0,0.0,0.0,0.0,3.0,0.2,0.6,2.2,0.4,0.2,0.2,0.0,2.6,1.7,4.3,3.4,2.5,4.7,1.7,3.0,25.9,0.6,0.5,20.5,4.3,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Kieran Trippier,Newcastle,1.9,1.2,3.0,1.1,0.8,1.3,0.1,0.0,0.2,2.0,0.4,0.2,0.8,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.9,0.7,0.2,2.2,1.3,0.9,54.3,3.9,4.7,37.4,8.4,2.9,1.7,1.2,0.1,0.0,0.0,0.1,0.0,0.0,0.2
Bukayo Saka,Arsenal,1.7,0.6,2.3,0.4,1.7,1.1,0.2,0.0,0.2,0.4,0.0,0.1,1.0,0.0,0.0,0.0,0.0,2.3,0.6,0.1,1.7,0.4,0.0,0.3,0.0,2.6,1.7,4.3,2.1,1.6,1.4,0.4,1.0,32.5,0.9,0.5,25.4,5.7,2.0,0.5,1.5,0.1,0.1,0.0,0.0,0.0,0.2,0.3
Solly March,Brighton,1.6,0.6,2.2,0.7,1.2,1.4,0.1,0.0,0.4,0.9,0.1,0.1,0.9,0.0,0.0,0.0,0.0,2.2,0.7,0.1,1.5,0.2,0.1,0.1,0.0,1.7,1.8,3.5,1.7,1.0,2.1,0.9,1.2,33.4,2.1,1.1,24.1,6.1,2.0,0.4,1.6,0.1,0.0,0.0,0.0,0.0,0.1,0.2
